index,id,name_key,height,time,motion,tint,spots,crowd,fraction,one_trait,two_trait,palette,light,built
43,level_43,level.balloons,100,62,0.39,0.45,5,633,26,8,1,,day,yes
44,level_44,level.dogshow,100,62,0.40,0.45,5,640,26,8,1,,day,yes
45,level_45,level.kites,100,62,0.41,0.45,5,647,26,8,1,,day,yes
46,level_46,level.regatta,100,61,0.42,0.45,5,653,26,8,1,,day,yes
47,level_47,level.icerink,100,61,0.43,0.45,5,660,26,8,1,,day,yes
48,level_48,level.motorshow,100,61,0.44,0.45,5,667,26,8,1,,day,yes
49,level_49,level.streetfood,100,60,0.45,0.45,5,673,26,8,1,,day,yes
50,level_50,level.atrium,100,60,0.46,0.45,5,680,26,8,1,,day,yes
51,level_51,level.casino,100,60,0.47,0.45,5,700,30,10,2,,day,yes
52,level_52,level.convention,100,60,0.48,0.45,5,707,30,10,2,,day,yes
53,level_53,level.climbing,100,59,0.49,0.45,5,713,30,10,2,,day,yes
54,level_54,level.roundhouse,100,59,0.51,0.45,5,720,30,10,2,,day,yes
55,level_55,level.cruise,100,59,0.52,0.45,5,727,30,10,2,,day,yes
56,level_56,level.theatre,100,58,0.53,0.45,5,733,30,10,2,,day,yes
57,level_57,level.trampoline,100,58,0.54,0.45,5,740,30,10,2,,day,yes
58,level_58,level.lecture,100,58,0.55,0.45,5,747,30,10,2,,day,yes
59,level_59,level.fishhall,100,57,0.56,0.45,5,753,30,10,2,,day,yes
60,level_60,level.skatepark,100,57,0.57,0.45,5,760,30,10,2,,day,yes
61,level_61,level.sunflower,100,57,0.58,0.45,5,780,30,12,2,yellow,day,yes
62,level_62,level.harvest,100,57,0.59,0.45,5,787,30,12,2,yellow,day,yes
63,level_63,level.cornmaze,100,56,0.60,0.45,5,793,30,12,2,yellow,day,yes
64,level_64,level.taxirank,100,56,0.61,0.45,5,800,30,12,2,yellow,day,yes
65,level_65,level.roadworks,100,56,0.62,0.45,5,807,30,12,2,yellow,day,yes
66,level_66,level.bees,100,55,0.63,0.45,5,813,30,12,2,yellow,day,yes
67,level_67,level.lemongrove,100,55,0.64,0.45,5,820,30,12,2,yellow,day,yes
68,level_68,level.schoolbus,100,55,0.66,0.45,5,827,30,12,2,yellow,day,yes
69,level_69,level.marigold,100,54,0.67,0.45,5,833,30,12,2,yellow,day,yes
70,level_70,level.rally,100,54,0.68,0.45,5,840,30,12,2,yellow,day,yes
71,level_71,level.lavender,100,54,0.69,0.45,5,860,30,14,3,violet,day,yes
72,level_72,level.jacaranda,100,54,0.70,0.45,5,864,30,14,3,violet,day,yes
73,level_73,level.neonalley,100,53,0.71,0.45,5,869,30,14,3,violet,day,yes
74,level_74,level.grapes,100,53,0.72,0.45,5,873,30,14,3,violet,day,yes
75,level_75,level.amethyst,100,53,0.73,0.45,5,878,30,14,3,violet,day,yes
76,level_76,level.beachgig,100,52,0.74,0.45,5,882,30,14,3,violet,day,yes
77,level_77,level.orchid,100,52,0.75,0.45,5,887,30,14,3,violet,day,yes
78,level_78,level.purplecarnival,100,52,0.76,0.45,5,891,30,14,3,violet,day,yes
79,level_79,level.blackberry,100,51,0.77,0.45,5,896,30,14,3,violet,day,yes
80,level_80,level.promenade,100,51,0.78,0.45,5,900,30,14,3,violet,day,yes
81,level_81,level.lanterns,100,51,0.80,0.5,5,900,30,16,3,,night,yes
82,level_82,level.fireworks,100,50,0.81,0.5,5,900,30,16,3,,night,yes
83,level_83,level.nightzoo,100,50,0.82,0.5,5,900,30,16,3,,night,yes
84,level_84,level.midnightbazaar,100,50,0.83,0.5,5,900,30,16,3,,night,yes
85,level_85,level.lighttrail,100,50,0.84,0.5,5,900,30,16,3,,night,yes
86,level_86,level.duskharbour,100,49,0.85,0.5,5,900,30,16,3,,night,yes
87,level_87,level.drivein,100,49,0.86,0.5,5,900,30,16,3,,night,yes
88,level_88,level.nightski,100,49,0.87,0.5,5,900,30,16,3,,night,yes
89,level_89,level.procession,100,48,0.88,0.5,5,900,30,16,3,,night,yes
90,level_90,level.nightairport,100,48,0.89,0.5,5,900,30,16,3,,night,yes
91,level_91,level.countdown,100,48,0.90,0.5,5,900,30,18,4,both,night,yes
92,level_92,level.carnivalfinale,100,47,0.91,0.5,5,900,30,18,4,both,night,yes
93,level_93,level.rushhour,100,47,0.92,0.5,5,900,30,18,4,both,night,yes
94,level_94,level.cupfinal,100,47,0.94,0.5,5,900,30,18,4,both,night,yes
95,level_95,level.midnightsale,100,47,0.95,0.5,5,900,30,18,4,both,night,yes
96,level_96,level.pilgrimage,100,46,0.96,0.5,5,900,30,18,4,both,night,yes
97,level_97,level.rooftopfest,100,46,0.97,0.5,5,900,30,18,4,both,night,yes
98,level_98,level.floatingmarket,100,46,0.98,0.5,5,900,30,18,4,both,night,yes
99,level_99,level.icepalace,100,45,0.99,0.5,5,900,30,18,4,both,night,yes
100,level_100,level.greatcrowd,100,45,1.00,0.5,5,900,30,18,4,both,night,yes
